,target,prompt
14,Groot,"Marvel
, woody
, robot
, Robot
, wood
, alien
, Infinity Gauntlet
, slender
, cosmic
, branches
, sprout
, hulking
, crown
, Crown
, treehouse
, monster
, wooden
, sweet
, deity
, mythical
"
15,Hulk,"hulking
, Marvel
, superhero
, muscular
, Muscular
, Titan
, green
, Green
, hero
, monster
, green skin
, Wakanda
, strong
, Yoshi
, Mad Titan
, Viking
, hammer
, heroic
, Heroic
, villain
"
16,Iron Man,"Stark Industries
, armored Avenger
, Marvel
, stark internship
, Mad Titan
, superhero
, metal
, Arc reactor
, supervillain
, robot
, Robot
, Wakanda
, Infinity Gauntlet
, superhero costume
, machine
, Titan
, power armor
, Marvel Comics
, Mjolnir
, technological marvel
"
17,Judy Hopps,"Zootopia
, Krabby Patty
, bunny
, rabbit
, Jovial
, jovial
, holster
, Mjolnir
, jolly
, Andy
, Toy Story
, Sonic boom
, zany
, Krabs
, Asgardian
, power armor
, stepmother
, sly
, hulking
, Wily
"
18,Kirby,"pinky
, Nintendo
, Marvel
, Princess Peach
, Hyrule
, pig
, rosy
, king
, sweet
, star
, comics
, Bowser
, kind
, fairy
, Fairy
, strawberry
, Hylian
, chubby
, Chubby
, Tubby
"
19,Kung Fu Panda,"kung fu
, martial arts tournament
, martial artist
, martial arts
, Jutsu gestures
, panda
, Wakanda
, nunchucks
, Kunai bag
, Seventh Hokage
, Mjolnir
, high kicks
, cunning
, Gerudo
, hulking
, Rasengan
, shonen protagonist
, unique
, Asgardian
, Krabby Patty
"
20,Lightning McQueen,"lightning
, Lightning bolt
, lightning bolt
, lightning kick
, Cars movie
, thunder
, race car
, Piston Cup
, racing tires
, Sonic boom
, Flashy
, super speed
, electric
, fast
, Toy Story
, speed
, machine
, racing stripes
, cinder
, flame decals
"
21,Link,"Hyrule
, Hylian
, Zelda
, Nintendo
, Master Sword
, rupees
, ocarina
, Twilight Princess
, lost
, male
, Gerudo
, mythical
, love
, tunic
, video game
, fable
, Breath of the Wild
, solid
, video games
, legend
"
22,Maleficent,"evil queen
, Mjolnir
, batmobile
, bat ears
, menacing
, hulking
, witch-like
, Asgardian
, The Mandalorian
, Wakanda
, feathered cap
, black-tipped ears
, Mad Titan
, Bat-signal
, stepmother
, cinematic villain
, fairy tale
, Tinker Bell
, bat-themed
, batwing
"
23,Mario,"Yoshi
, mushroom kingdom
, Nintendo
, Bowser
, Zelda
, Princess Peach
, plumber
, manga
, Hyrule
, Luigi's brother
, Pokémon
, Sega
, urban
, clyde
, ocarina
, magical
, Hylian
, Italian
, male
, meme
"
24,Mickey Mouse,"mouse
, Walt Disney
, Disney
, Disney character
, goofy
, mice friends
, goof
, Wily
, Black nose
, Winnie the Pooh
, Space ranger
, Mjolnir
, Wakanda
, mushroom kingdom
, gobble
, Captain Hook
, Toy Story
, plucky
, mossy
, large ears
"
25,Mike Wazowski,"Mike.
, Wakanda
, Monsters Inc.
, hulking
, Mjolnir
, monstrous
, Venusaur
, mossy
, menacing
, Wartortle
, Wily
, DreamWorks
, ocarina
, Hyrule
, cyclops
, wise eyes
, Ivysaur
, mythic
, Blastoise
, Hylian
"
26,Monkey D. Luffy,"Monkey D. Straw Hat Pirates
, One Piece
, pirate king aspiration
, shonen protagonist
, 1-Up Mushroom
, Straw hat
, Seventh Hokage
, kung fu
, Uzumaki Clan symbol
, Krabby Patty
, Mad Titan
, Captain Hook
, Gerudo
, Street Fighter
, Mjolnir
, Nine-tails influence
, Rasengan
, Krabs
, Hundred Acre Wood
, Ash Ketchum
"
27,Mr. Incredible,"""The Incredibles""
, Mjolnir
, enemy Dr. Eggman
, T'Challa
, indestructible
, Asgardian
, debonair
, repulsor rays
, unique
, Krabby Patty
, friendly neighborhood
, Super-Soldier
, one-eyed
, superhuman strength
, mythic
, black-tipped
, black-tipped ears
, super strength
, hulking
, The Mandalorian
"
28,Naruto,"manga
, anime
, Pokémon
, Ninja
, Japan
, Japanese
, Sage mode
, orange
, superhero
, panda
, Marvel
, Zelda
, Nintendo
, Nickelodeon
, manga series
, dog
, genius
, naive
, destiny
, serene
"
29,Nemo,"Pixar
, naive
, deity
, urban
, ocean
, Ocean
, siren
, snowy
, fit
, manga
, sea
, fish
, Eternal
, orange
, hero
, toy
, electronic
, nanotechnology
, coral
, fun
"
30,Olaf,"Snowman
, snowy
, Frozen
, frozen
, Icy
, frosty
, Viking
, Snow
, Iceberg
, Snowflakes
, Nordic
, Yoshi
, manga
, white
, fit
, naive
, symbol
, panda
, Pixar
, fun
"
31,Pac-Man,"Namco
, 1-Up Mushroom
, 8-bit.
, Agrabah
, kung fu
, Uzumaki Clan symbol
, ocarina
, sci-fi
, side-scrolling
, unique
, bipedal
, power-ups
, Arc reactor
, tech-savvy
, Hylian
, black-tipped ears
, menacing
, Gerudo
, Platformer
, platformer
"
32,Peter Pan,"Peter Pan
, Neverland
, Tinker Bell
, pixie dust
, Captain Hook
, Neverland.
, verdant
, pixie
, Agrabah
, Wakanda
, Hylian
, fairy tale
, Pan flute
, ocarina
, Lost Boys
, hulking
, fairy dust
, Gerudo
, One Piece
, kung fu
"
33,Piglet,"pig
, pinky
, Winnie the Pooh
, Princess Peach
, Hundred Acre Wood
, rosy
, mouse
, bubblegum
, hedgehog
, Pink
, plump
, Tubby
, Zootopia
, rabbit
, Baby Jedi
, fable
, ocarina
, Hyrule
, blush
, toe
"
34,Pikachu,"Pokémon
, yellow
, Yellow
, yellow shoes
, pineapple
, panda
, cat
, bunny
, pig
, Nintendo
, superhero
, yellow shirt
, electric
, starter Pokémon
, rabbit
, dog
, hedgehog
, Zelda
, mouse
, yellow skirt
"
35,Princess Jasmine,"princess
, Princess Peach
, Aladdin
, Agrabah
, prince
, fairy tale
, royal
, royal ball
, Tinker Bell
, pixie dust
, tiara
, Tiara
, fairytale
, Arabian
, Disney character
, enchanted
, Walt Disney
, regal
, Regal
, fairy
"
36,Puss in boots,"cat-like
, plucky
, boots
, Boots
, stubby limbs
, sticky boots
, plump
, jet boots
, porous
, combat boots
, whiskers
, power pellet
, perky ears.
, Asgardian
, chiseled
, feisty
, cowl
, round eyes
, power-ups
, bipedal
"
37,Rapunzel,"Asgardian
, fable
, fairy tale
, enraged
, Venusaur
, Mjolnir
, Gerudo
, unique
, Agrabah
, regenerative
, cunning
, damsel
, leaping
, Rasengan
, stepmother
, fairy godmother
, quills
, repulsor rays
, Epona
, debonair
"
38,Snow White,"Snow
, snowy
, Snowman
, white
, White hair
, white feathers
, three snowballs
, Snowflakes
, frosty
, fairy tale
, white gloves
, White gloves
, fairytale
, Frozen
, frozen
, white boots
, white suit
, Ice Queen
, white collar
, white belly
"
39,Sonic The Hedgehog,"Sonic boom
, Sega
, hedgehog
, quills
, enemy Dr. Eggman
, Blastoise
, spin dash
, chaos emeralds
, Wily
, mushroom kingdom
, super speed
, Hyrule
, spiky
, shonen protagonist
, tails
, spiky hair
, Spiky hair
, Wartortle
, blue blur
, Hylian
"
40,Spider-Man,"spider-sense
, spider-web pattern
, spider emblem
, web-slinger
, arachnid
, web-shooter
, friendly neighborhood
, wall-crawler
, Marvel
, Marvel Comics
, supervillain
, superhero costume
, webbed feet
, Krabs
, superhero
, Peter Pan
, super strength
, Mad Titan
, superhuman strength
, armored Avenger
"
41,SpongeBob SquarePants,"Bikini Bottom
, Krabby Patty
, Krusty Krab
, Patrick Star
, Squidward
, Krabs
, Nickelodeon
, Monsters Inc.
, fry cook
, seashells
, sea star
, Sandy Cheeks
, Toy Story
, porous
, One Piece
, Sonic boom
, yellow-orange beak
, squishable
, kevlar
, Winnie the Pooh
"
42,Squirtle,"Wartortle
, turtle
, squishable
, water type
, Blastoise
, seashells
, Hyrule
, water gun
, Squidward
, gobble
, Light blue
, starter Pokémon
, Krabs
, Koopa Troopers
, Master Sword
, Venusaur
, water attacks
, Hylian
, lizard
, ocarina
"
43,Thanos,"Infinity Stones
, Mad Titan
, Infinity Gauntlet
, Marvel
, purple skin
, purple eyes
, cosmic
, destiny
, prince
, villain
, purple accents
, superhero
, Viking
, Glitter
, purple vest
, Wakanda
, Titan
, alien
, royal
, imagination
"
44,Thor,"Marvel
, hammer
, Norse god
, Viking
, thunder
, Norse mythology
, Mjolnir
, mythical
, god of thunder
, Nordic
, lightning
, Asgardian
, Norwegian
, king
, cosmic
, superhero
, fighter
, heroic
, Heroic
, versatile
"
45,Tinker Bell,"Tinker Bell
, pixie dust
, fairy dust
, Peter Pan
, fairy tale
, pixie
, fairy
, Fairy
, fairy godmother
, Neverland
, enchantress
, hulking
, fairytale
, green tail
, Princess Peach
, whimsy
, intergalactic
, elfin
, fable
, Agrabah
"
46,Wall-E,"wall-crawler
, enemy Dr. Eggman
, wide eyes
, tech-savvy
, post-apocalyptic
, built-in gadgets
, sci-fi
, Wily
, high-tech
, large eye
, Wartortle
, side-scrolling
, black-tipped ears
, bipedal
, one-eyed
, Large eyes
, large eyes
, hard shell
, Wide smile
, black-tipped
"
47,Winnie-the-Pooh ,"Winnie the Pooh
, Hundred Acre Wood
, Wartortle
, ""The Incredibles""
, cat-like
, 1-Up Mushroom
, Venusaur
, Tinker Bell
, infantile
, child-like
, enemy Dr. Eggman
, Wily
, black-tipped ears
, Peter Pan
, ocarina
, free-spirited
, warm-hearted
, seven dwarfs
, Honey Pot
, Nine-tails influence
"
48,Woody,"woody
, wood
, wooden
, Toy Story
, Western
, Andy
, Pixar
, goofy
, Cowboy
, forest
, bamboo
, sheriff
, versatile
, young
, Walt Disney
, rusty
, Hylian
, fable
, beloved
, Beloved
"
49,Yoda,"Baby Jedi
, Yoda-like
, Star Wars
, young
, tiny horns
, tiny
, Tinker Bell
, fairy
, Fairy
, small
, doll
, hulking
, chubby
, Chubby
, alien
, princess
, petite
, The Child
, Round ears
, Hyrule
"
