,target,prompt
35,Princess Jasmine,"princess, Disney, Aladdin, Arabian, royal, beautiful, necklace, cartoon, tiara, turquoise, cartoon"
36,Puss in boots,"Boots, fairy tale, animated, hat, sword, feline, furry, feather, hero, clever, cartoon"
37,Rapunzel,"princess, tower, classic, beautiful, blonde, Long hair, fantasy, magical, braided, floral, cartoon"
38,Snow White,"Disney, seven dwarfs, princess, dress, evil queen, apple, prince, classic, beauty, fairytale, cartoon"
39,Sonic The Hedgehog,"hedgehog, Sega, tails, video game, Blue, Genesis, zone, cartoon, Sonic boom, adventure, cartoon"
40,Spider-Man,"costume, Marvel Comics, superhero, mask, New York, stealth, jumpsuit, swinging, friendly neighborhood, young, cartoon"
41,SpongeBob SquarePants,"Bikini Bottom, Nickelodeon, cartoon, yellow, Squidward, Krusty Krab, Patrick Star, pineapple, pants, Gary, cartoon"
42,Squirtle,"Pokémon, anime, cute, cartoon, Blastoise, blue, Wartortle, turtle, evolution, small, cartoon"
43,Thanos,"Marvel, Infinity Gauntlet, Titan, Infinity Stones, villain, cosmic, Mad Titan, space, armor, powerful, cartoon"
44,Thor,"hammer, thunder, god of thunder, hero, Viking, Mjolnir, helmet, metal, boots, protector, cartoon"
45,Tinker Bell,"Disney, Fairy, Peter Pan, wings, light, cute, pixie dust, Neverland, magical, blonde, cartoon"
46,Wall-E,"Pixar, Robot, film, metal, cute, animated, short, yellow, cube, small, cartoon"
47,Winnie-the-Pooh ,"Classic, Bear, Plush, Cute, Cartoon, Soft, Yellow, Hundred Acre Wood, Honey Pot, Storybook, cartoon"
48,Woody,"toy, Toy Story, Disney, Pixar, sheriff, doll, wood, vintage, Cowboy, star, cartoon"
49,Yoda,"Star Wars, The Mandalorian, The Child, Disney, Cute, meme, Grogu, adorable, green, soft, cartoon"
