,target,prompt
21,Link,"young, map, cap, hero, hearts, shield, brave, belt, loyal, boots, sword, fairy, bombs, gloves, puzzles, journeys, fierce, compass, courageous, dungeon, cartoon"
22,Maleficent,"fairy tale, elegant, gothic, protective, captivating, mystical, misunderstood, vengeful, Disney character, intimidating, menacing, winged, majestic, enigmatic, ethereal, regal, costume design, brooding, otherworldly, fearsome, cartoon"
23,Mario,"Nintendo, Italian, video games, hero, Cap, jumping, iconic, coins, Loyal, jumps, platformer, pipes, Bowser, plumber, Yoshi, adventurous, cheerful, power-ups, Princess Peach, side-scrolling, cartoon"
24,Mickey Mouse,"fun, Disney, happy, white, black, popular, red, character, classic, magic, eyes, friendly, entertainment, round, Walt Disney, smile, circle, leader, cartoon, creator, cartoon"
25,Mike Wazowski,"Mike, Disney, Monsters Inc, film, character, Pixar, kids, small, monster, animated, Green, comedy, friendly, walking, toys, round, personality, adorable, iconic, bright, cartoon"
26,Monkey D. Luffy,"One Piece, anime, manga, pirate, young, powerful, Straw hat, captain, leader, friendly, beloved, determined, teenage, iconic, loyal, brave, cheerful, heroic, carefree, naive, cartoon"
27,Mr. Incredible,"""The Incredibles"", Pixar, superhero, animated, father, strong, fit, leader, powerful, massive, cartoon, iconic, determined, tall, heroic, mask, confident, cape, inspiring, fictional, cartoon"
28,Naruto,"Ninja, Friendly, Smile, Transformation, Inspiring, Growing up, Screaming, Determination, Heroic, Spirited, Youthful, Blue eyes, Shadow clone, Flashy, Rasengan, Adventurous, Headband, Sandals, Seventh Hokage, Sage mode, cartoon"
29,Nemo,"small, white, popular, lost, movie, sea, character, adventure, friendly, fish, famous, ocean, soft, bright, cute, animated, animated, orange, Pixar, beloved, cartoon"
30,Olaf,"small, white, happy, unique, creative, frozen, round, friendly, magic, Disney, funny, bright, soft, cute, animated, iconic, Snowman, optimistic, innocent, charming, cartoon"
31,Pac-Man,"level, classic, arcade, video game, round, bonus, eat, score, retro, maze, ghost, circle, yellow, quarter, joystick, dots, chase, 1980s, fruit, pixel, cartoon"
32,Peter Pan,"adventures, fantasy, island, magical, flying, hero, freedom, imagination, Neverland, leader, shadow, charm, boots, Captain Hook, timeless, playful, Lost Boys, innocence, daring, pixie, cartoon"
33,Piglet,"small, pig, friend, simple, warm, character, tiny, soft, cute, Pink, Winnie the Pooh, adorable, gentle, cartoon, caring, innocent, delicate, cap, vulnerable, animation, cartoon"
34,Pikachu,"series, Pokémon, small, character, red, short, anime, cute, video games, yellow, fantasy, round, friendly, electric, bright, tail, toy, beloved, mouse, iconic, cartoon"
35,Princess Jasmine,"princess, Aladdin, Disney, beautiful, animated, palace, royal, Agrabah, iconic, cartoon, Arabian, independent, determined, cultural, confident, bold, spirited, loyal, exotic, elegant, cartoon"
36,Puss in boots,"Boots, animated, hero, legend, smart, walking, fairy tale, charming, clever, hat, standing, sword, belt, confident, fighter, feline, leather, storyteller, witty, cape, cartoon"
37,Rapunzel,"beautiful, princess, classic, magical, fantasy, tower, traditional, charming, iconic, tall, blonde, innocent, delicate, feminine, Long hair, medieval, captivating, floral, enchanting, folklore, cartoon"
38,Snow White,"love, beauty, magic, classic, Disney, princess, animals, prince, dress, fantasy, mirror, forest, apple, animated, birds, seven dwarfs, friendship, gentle, rescue, innocent, cartoon"
39,Sonic The Hedgehog,"hedgehog, Sega, adventure, video game, running, fast, Blue, cool, speed, hero, Genesis, zone, comics, tails, cartoon, rings, iconic, jumping, boost, platformer, cartoon"
40,Spider-Man,"young, New York, superhero, iconic, costume, mask, Marvel Comics, teenager, urban, genius, flexible, jumpsuit, Queens, symbol, swinging, alter ego, climbing, athletic, stealth, vigilante, cartoon"
41,SpongeBob SquarePants,"fun, cartoon, Nickelodeon, sea, animated, square, yellow, Bikini Bottom, laugh, shorts, pants, nose, smile, Ocean, Gary, Squidward, shoes, happiness, tie, belt, cartoon"
42,Squirtle,"Pokémon, small, popular, blue, cute, evolution, anime, tough, friendly, video games, smooth, shell, tail, Blastoise, animated, creature, water type, turtle, determined, iconic, cartoon"
43,Thanos,"Marvel, space, powerful, villain, alien, cosmic, Titan, Infinity Stones, armor, Infinity Gauntlet, Eternal, Mad Titan, terrifying, destroyer, antagonist, robust, aggressive, feared, supervillain, ruthless, cartoon"
44,Thor,"powerful, hero, strength, ancient, hammer, thunder, metal, magical, warrior, legendary, lightning, tall, leather, armor, supernatural, divine, medieval, boots, Viking, cape, cartoon"
45,Tinker Bell,"Disney, light, Fairy, Peter Pan, magical, animated, flight, fantasy, tiny, cute, charming, beloved, bright, wings, Neverland, iconic, innocent, pixie dust, lively, fairy tale, cartoon"
46,Wall-E,"short, small, film, Pixar, adventure, Robot, friendly, animated, cute, determined, compact, metal, tracks, yellow, dirty, electronic, isolated, survival, innovative, curiosity, cartoon"
47,Winnie-the-Pooh ,"Simple, Classic, Bear, English, Round, Cute, Traditional, Friendly, Warm, Soft, Beloved, Curious, Animated, Yellow, Cartoon, Gentle, Calm, Delightful, Iconic, Hundred Acre Wood, cartoon"
48,Woody,"star, wood, character, brown, Western, friendly, hat, smile, toy, Andy, beloved, iconic, leadership, leather, Disney, vintage, boots, caring, belt, animation, cartoon"
49,Yoda,"Star Wars, The Mandalorian, small, Disney, popular, The Child, green, Cute, merchandise, adorable, soft, Grogu, fantasy, alien, beloved, magical, sci-fi, curious, mysterious, meme, cartoon"
