,target,prompt
24,Mickey Mouse,"Disney, white, black, red, popular, fun, happy, magic, classic, character, entertainment, cartoon, Walt Disney, round, eyes, fantasy, friendly, animated, animation, circle, cartoon"
25,Mike Wazowski,"Mike, Disney, Monsters Inc, kids, small, Pixar, character, Green, film, monster, toys, animated, round, walking, plush, comedy, adorable, friendly, merchandise, personality, cartoon"
26,Monkey D. Luffy,"One Piece, anime, manga, young, captain, pirate, friendly, brave, iconic, loyal, Straw hat, powerful, leader, beloved, determined, teenage, heroic, smiling, cheerful, hungry, cartoon"
27,Mr. Incredible,"""The Incredibles"", Pixar, superhero, animated, father, strong, cartoon, fit, mask, powerful, tall, leader, cape, iconic, elder, heroic, super strength, massive, symbol, crimson, cartoon"
28,Naruto,"Ninja, Friendly, Smile, Spirited, Growing up, Transformation, Heroic, Inspiring, Sandals, Blue eyes, Determination, Screaming, Headband, Rasengan, Seventh Hokage, Adventurous, Agile, Bandages, Sage mode, Youthful, cartoon"
29,Nemo,"white, small, sea, popular, movie, adventure, lost, fish, ocean, orange, character, friendly, Pixar, cute, soft, famous, animated, animated, bright, marine, cartoon"
30,Olaf,"white, small, happy, frozen, Disney, creative, magic, unique, round, friendly, soft, bright, funny, cute, Snowman, animated, gentle, iconic, charming, adorable, cartoon"
31,Pac-Man,"classic, arcade, ghost, retro, level, video game, yellow, round, orange, circle, chase, eat, fruit, bonus, maze, score, Namco, strawberry, quarter, iconic, cartoon"
32,Peter Pan,"island, adventures, hero, fantasy, magical, flying, boots, shadow, Neverland, freedom, imagination, leader, charm, Captain Hook, timeless, Tinker Bell, mermaids, pixie, Lost Boys, storybook, cartoon"
33,Piglet,"small, pig, friend, Pink, simple, cute, warm, soft, tiny, Winnie the Pooh, character, gentle, cartoon, adorable, caring, innocent, animation, plush, fearful, cap, cartoon"
34,Pikachu,"Pokémon, series, red, character, short, yellow, cute, anime, fantasy, small, toy, friendly, bright, beloved, video games, round, shock, iconic, mouse, electric, cartoon"
35,Princess Jasmine,"princess, Disney, Aladdin, beautiful, royal, cartoon, animated, Agrabah, palace, iconic, Arabian, tiara, elegant, necklace, determined, independent, exotic, cultural, spirited, courageous, cartoon"
36,Puss in boots,"Boots, hero, legend, walking, sword, animated, hat, cape, defender, standing, fairy tale, smart, rogue, fighter, feather, feline, charming, clever, gentleman, tails, cartoon"
37,Rapunzel,"princess, beautiful, classic, fantasy, magical, tower, medieval, traditional, charming, tall, enchanting, innocent, floral, blonde, captive, fable, storybook, Long hair, iconic, braided, cartoon"
38,Snow White,"love, beauty, Disney, princess, magic, classic, prince, animals, fantasy, dress, apple, birds, forest, mirror, animated, seven dwarfs, rescue, fairytale, friendship, enchanted, cartoon"
39,Sonic The Hedgehog,"hedgehog, Sega, adventure, comics, Blue, hero, video game, rings, cool, fast, Genesis, zone, cartoon, speed, running, tails, iconic, invincible, mascot, Sonic boom, cartoon"
40,Spider-Man,"young, superhero, New York, Marvel Comics, costume, iconic, mask, urban, genius, Queens, climbing, teenager, symbol, stealth, jumpsuit, vigilante, crawling, muscular, swinging, alter ego, cartoon"
41,SpongeBob SquarePants,"fun, cartoon, sea, Nickelodeon, animated, shoes, square, yellow, Gary, Ocean, tie, socks, shorts, pants, innocent, pineapple, goofy, smile, glasses, bubbles, cartoon"
42,Squirtle,"Pokémon, blue, anime, popular, small, cute, Blastoise, evolution, video games, Wartortle, tail, cartoon, animated, friendly, shell, tough, water type, turtle, creature, swimming, cartoon"
43,Thanos,"Marvel, space, alien, powerful, villain, Titan, Infinity Stones, Infinity Gauntlet, armor, cosmic, destroyer, Eternal, mastermind, Mad Titan, muscular, terrifying, warlord, antagonist, colossal, feared, cartoon"
44,Thor,"hero, metal, powerful, hammer, warrior, thunder, ancient, boots, lightning, strength, legendary, supernatural, magical, Viking, armor, cape, tall, leather, medieval, divine, cartoon"
45,Tinker Bell,"Disney, Fairy, fantasy, light, Peter Pan, cute, magical, wings, animated, tiny, bright, Neverland, flight, charming, spirited, iconic, sassy, beloved, cheerful, fairy tale, cartoon"
46,Wall-E,"film, Pixar, adventure, small, short, animated, Robot, metal, cute, grey, yellow, friendly, dirty, electronic, cube, curiosity, survival, charming, loyal, rusty, cartoon"
47,Winnie-the-Pooh ,"Classic, Bear, English, Simple, Soft, Cute, Yellow, Cartoon, Round, Plush, Friendly, Animated, Curious, Traditional, Warm, Gentle, Iconic, Beloved, Calm, Timeless, cartoon"
48,Woody,"star, brown, wood, Western, character, Disney, Andy, friendly, vintage, toy, animation, hat, leather, leadership, boots, smile, iconic, Toy Story, retro, beloved, cartoon"
49,Yoda,"Star Wars, green, Cute, small, popular, adorable, robe, Disney, soft, fantasy, merchandise, beloved, curious, magical, alien, fluffy, sci-fi, miniature, mysterious, viral, cartoon"
