,target,prompt
11,Doraemon,"Japan, anime, manga, character, popular, animation, cat, Blue, adventure, robot, white, cute, magic, influence, pocket, round, friendly, iconic, manga series, gadgets, cartoon"
12,Elsa,"Frozen, Disney, Snow, Magic, Powers, Cool, Winter, Icy, Silver, Fantasy, Blue eyes, Animation, Crown, Frost, Braid, Gown, Elegant, Delicate, Snowflakes, Cape, cartoon"
13,Goofy,"character, funny, silly, dog, friendly, male, Disney, animated, cartoon, Tall, iconic, animation, innocent, lovable, optimistic, humorous, vintage, enduring, clumsy, slapstick, cartoon"
14,Groot,"green, natural, ancient, guardian, wise, humanoid, Tree-like, branches, wooden, organic, evolving, robust, flexible, mythical, woody, sustainable, whimsical, majestic, enduring, stout, cartoon"
15,Hulk,"Marvel, Green, strong, superhero, giant, powerful, massive, strength, angry, solid, savage, aggressive, ripped, explosive, smashing, monstrous, destructive, fierce, larger-than-life, muscular, cartoon"
16,Iron Man,"superhero, iconic, helmet, futuristic, high-tech, exoskeleton, Stark Industries, Arc reactor, robotics, metallic, cutting-edge, durability, cybernetic, suit-up, gauntlets, alloy, visor, retractable, nanotechnology, thrusters, cartoon"
17,Judy Hopps,"Zootopia, Disney, bunny, animated, rabbit, kind, small, young, mammal, adventure, ears, strong, fit, anthropomorphic, determined, tail, grey, optimistic, smart, assistant, cartoon"
18,Kirby,"small, simple, round, fantasy, flying, friendly, iconic, bright, sweet, animated, video game, soft, innocent, magical, Pink, floating, transformation, cute, balloon, adorable, cartoon"
19,Kung Fu Panda,"panda, animated, DreamWorks, action, Chinese, funny, powerful, traditional, friendly, warrior, martial arts, iconic, Eastern, belt, determined, bold, family-friendly, adorable, black-and-white, innocent, cartoon"
20,Lightning McQueen,"Disney, Pixar, animated, Red, popular, fast, speed, race car, friendly, motor, iconic, modern, Piston Cup, champion, Cars movie, bright, smiling, dynamic, competitive, determined, cartoon"
21,Link,"young, map, hero, cap, shield, hearts, belt, sword, brave, bombs, loyal, boots, fierce, Zelda, gloves, fairy, puzzles, dungeon, compass, journeys, cartoon"
22,Maleficent,"fairy tale, elegant, protective, Disney character, mystical, menacing, costume design, gothic, fearsome, misunderstood, intimidating, regal, commanding, otherworldly, winged, enigmatic, vengeful, ethereal, dark fairy, motherly, cartoon"
23,Mario,"Nintendo, Italian, video games, hero, Cap, jumping, iconic, platformer, coins, Bowser, jumps, Yoshi, Loyal, plumber, power-ups, pipes, side-scrolling, Princess Peach, mushroom kingdom, Goombas, cartoon"
24,Mickey Mouse,"Disney, character, white, black, popular, fun, Walt Disney, red, happy, magic, cartoon, classic, animated, eyes, entertainment, animation, round, leader, ears, fantasy, cartoon"
25,Mike Wazowski,"Mike, Disney, Monsters Inc, film, Pixar, character, monster, animated, small, Green, kids, toys, comedy, merchandise, arms, adorable, personality, round, one-eyed, walking, cartoon"
26,Monkey D. Luffy,"One Piece, anime, manga, pirate, Straw hat, captain, young, powerful, leader, loyal, determined, friendly, beloved, smiling, iconic, brave, black hair, muscular, sandals, Gomu Gomu no Mi, cartoon"
27,Mr. Incredible,"""The Incredibles"", Pixar, animated, superhero, strong, powerful, father, iconic, fit, massive, heroic, leader, cartoon, cape, dominant, tall, determined, fictional, symbol, super strength, cartoon"
28,Naruto,"Ninja, Smile, Friendly, Transformation, Shadow clone, Screaming, Inspiring, Determination, Rasengan, Seventh Hokage, Heroic, Growing up, Headband, Sage mode, Spirited, Bandages, Sandals, Blue eyes, Flashy, Blond hair, cartoon"
29,Nemo,"movie, small, character, lost, white, animated, animated, popular, Pixar, sea, fish, adventure, famous, ocean, friendly, beloved, marine, bright, underwater, orange, cartoon"
30,Olaf,"small, frozen, Disney, white, happy, magic, Snowman, unique, round, animated, soft, funny, bright, creative, friendly, cute, adorable, gentle, innocent, charming, cartoon"
31,Pac-Man,"arcade, video game, classic, level, score, round, 1980s, retro, eat, Namco, maze, ghost, yellow, bonus, iconic, 8-bit, quarter, chase, circle, nostalgia, cartoon"
32,Peter Pan,"fantasy, hero, island, adventures, Neverland, flying, magical, freedom, Captain Hook, leader, imagination, shadow, Lost Boys, Tinker Bell, charm, boots, innocence, pixie, playful, daring, cartoon"
33,Piglet,"small, pig, friend, character, simple, Winnie the Pooh, tiny, cute, Pink, soft, warm, adorable, cartoon, animation, gentle, fictional, innocent, vulnerable, caring, delicate, cartoon"
34,Pikachu,"Pokémon, series, character, red, small, anime, yellow, short, electric, round, cute, video games, tail, fantasy, friendly, thunder, creature, shock, bright, toy, cartoon"
35,Princess Jasmine,"princess, Disney, Aladdin, animated, beautiful, Agrabah, cultural, palace, Arabian, cartoon, Middle Eastern, royal, independent, iconic, confident, exotic, love interest, determined, tiara, bold, cartoon"
36,Puss in boots,"Boots, animated, hero, legend, fairy tale, walking, sword, hat, charming, standing, smart, feline, clever, fighter, rogue, furry, belt, confident, cunning, tails, cartoon"
37,Rapunzel,"princess, beautiful, tower, magical, blonde, classic, fantasy, charming, traditional, tall, blue eyes, innocent, iconic, feminine, delicate, medieval, storybook, Long hair, slender, green eyes, cartoon"
38,Snow White,"love, Disney, beauty, magic, princess, animated, classic, prince, fantasy, seven dwarfs, forest, dress, animals, mirror, apple, rescue, birds, iconic, evil queen, spell, cartoon"
39,Sonic The Hedgehog,"hedgehog, Sega, video game, adventure, Blue, running, Genesis, speed, fast, cool, hero, zone, comics, tails, rings, platformer, cartoon, iconic, jumping, mascot, cartoon"
40,Spider-Man,"superhero, young, New York, Marvel Comics, costume, iconic, mask, genius, teenager, swinging, alter ego, urban, vigilante, symbol, friendly neighborhood, web-slinger, Queens, wall-crawler, climbing, stealth, cartoon"
41,SpongeBob SquarePants,"cartoon, animated, Nickelodeon, fun, sea, square, yellow, Bikini Bottom, Squidward, Gary, Krabs, Ocean, pants, laugh, underwater, Krusty Krab, pineapple, tie, shorts, shoes, cartoon"
42,Squirtle,"Pokémon, small, blue, popular, tough, evolution, Blastoise, anime, tail, cute, Wartortle, shell, friendly, water type, determined, creature, turtle, starter Pokémon, video games, water gun, cartoon"
43,Thanos,"Marvel, space, villain, cosmic, powerful, alien, Infinity Gauntlet, Titan, Infinity Stones, Mad Titan, armor, destroyer, intergalactic, supervillain, antagonist, terrifying, Eternal, conqueror, mastermind, ruthless, cartoon"
44,Thor,"hero, powerful, hammer, strength, ancient, thunder, metal, warrior, armor, legendary, magical, lightning, god of thunder, Viking, tall, Asgardian, supernatural, Norse mythology, cape, divine, cartoon"
45,Tinker Bell,"Disney, Fairy, Peter Pan, light, animated, magical, fantasy, tiny, wings, flight, iconic, bright, charming, Neverland, pixie dust, fairy tale, beloved, blonde, cute, mischievous, cartoon"
46,Wall-E,"film, Pixar, Robot, small, short, animated, adventure, friendly, cute, metal, futuristic, determined, tracks, dirty, survival, yellow, autonomous, electronic, charming, curiosity, cartoon"
47,Winnie-the-Pooh ,"Bear, Animated, Classic, Simple, English, Cartoon, Traditional, Round, Beloved, Friendly, Soft, Yellow, Fictional, Cute, Warm, Iconic, Curious, Hundred Acre Wood, Storybook, Gentle, cartoon"
48,Woody,"star, character, brown, wood, Western, friendly, Disney, Andy, toy, iconic, beloved, hat, smile, leadership, animation, Toy Story, leather, belt, Cowboy, Pixar, cartoon"
49,Yoda,"Star Wars, Cute, small, soft, green, adorable, alien, robe, meme, popular, sci-fi, fandom, fantasy, species, merchandise, large ears, wrinkled, wise eyes, puppet, The Child, cartoon"
