,target,keyword
14,Groot,"Tree-like, wooden texture, towering, branch-like limbs, bark-covered skin, greenery, humanoid, plant features, broad shoulders, expressive eyes, twiggy, leafy, sturdy, natural, brown, gentle giant, forest-like, organic, rooted feet, verdant."
15,Hulk,"Green, muscular, giant, massive, powerful, angry, fierce, intimidating, bulky, towering, monstrous, rugged, durable, unstoppable, formidable, aggressive, smashing, gamma-radiated, beastly, torn-clothes"
16,Iron Man,"Red armor, gold accents, arc reactor, helmet, repulsor beams, flight stabilizers, power suit, metallic, sleek design, high-tech, glowing eyes, armored gauntlets, exoskeleton, jet boots, faceplate, advanced technology, superhero costume, Stark Industries, modern, iconic"
17,Judy Hopps,"Gray fur, blue eyes, police uniform, rabbit, long ears, pink nose, athletic build, badge, utility belt, tail, whiskers, purple vest, determined expression, carrot recorder, knee pads, wristwatch, compact build, boots, optimistic smile, Zootopia"
18,Kirby,"Pink, round, small, cute, simple, soft, cheerful, expressive, iconic, blob, floating, puffy, squishy, adaptable, friendly, bright, smooth, elastic, playful, innocent"
19,Kung Fu Panda,"Black-and-white, chubby, panda, animated, martial artist, warrior, bamboo, Chinese, lovable, humorous, expressive eyes, furry, big belly, agile, energetic, friendly, iconic, round face, bandana, DreamWorks."
20,Lightning McQueen,"Red, race car, number 95, sleek, sporty, animated, Pixar, bright, flashy, spoiler, racing stripes, large wheels, confident smile, expressive eyes, bold, charismatic, aerodynamic, iconic, vibrant, Lightning bolt."
21,Link,"Green tunic, Hylian Shield, Master Sword, pointed ears, elf-like, blonde hair, boots, gauntlets, cap, Triforce symbol, blue eyes, adventurer, hero, belt, gloves, tights, quiver, bow, bomb bag, boomerang."
22,Maleficent,"Horns, black robe, green skin, staff, raven, wings, cheekbones, gothic, mysterious, dark magic, fairy, elegant, powerful, enchanting, sinister, regal, cape, sharp eyes, mystical, transformation."
23,Mario,"Red hat, mustache, blue overalls, white gloves, Italian plumber, Nintendo, Super Mario, red shirt, brown shoes, jump, Luigi's brother, Mushroom Kingdom, Princess Peach, Bowser, fireballs, coins, green pipes, power-ups, Goomba, Yoshi."
24,Mickey Mouse,"Mickey Mouse, cartoon, Disney, ears, gloves, red shorts, tail, black, white, iconic, cheerful, round, button nose, yellow shoes, animation, mascot, friendly, anthropomorphic, classic, timeless"
25,Mike Wazowski,"Green, one-eyed, round, small, monster, horned, smooth, animated, Pixar, Disney, lime-colored, cyclops, friendly, comical, expressive, toothy smile, short, stubby legs, arms, iconic."
26,Monkey D. Luffy,"Straw hat, rubber body, scar under eye, red vest, blue shorts, sandals, wide smile, black hair, muscular build, stretchable limbs, Gear Second, Gear Third, Gear Fourth, Gear Fifth, pirate, captain, Monkey D. Luffy, One Piece, adventurous, determined."
27,Mr. Incredible,"Muscular, red suit, superhero, mask, strong, tall, blue eyes, black hair, broad shoulders, cape, emblem, boots, gloves, belt, chiseled jaw, athletic, powerful, imposing, confident, heroic."
28,Naruto,"Blonde hair, blue eyes, whisker marks, orange jumpsuit, headband, ninja, Hidden Leaf Village symbol, spiky hair, sandals, kunai holster, shuriken, energetic, youthful, determined, bandaged hands, Uzumaki clan symbol, shadow clone, Rasengan, fox spirit, Jinchuriki."
29,Nemo,"Orange, white, stripes, small, clownfish, fins, tail, aquatic, bright, tropical, cute, animated, Pixar, ocean, saltwater, friendly, gills, eyes, swim, coral reef."
30,Olaf,"Snowman, white, carrot nose, twig hair, coal buttons, round eyes, smiling, stick arms, small, cute, animated, magical, Disney, Frozen, three balls, friendly, innocent, scarf, blue eyes, enchanting."
31,Pac-Man,"Yellow, circle, arcade, maze, dots, ghosts, pellets, power-ups, retro, joystick, 1980s, Namco, chomping, iconic, video game, fruit, bonus, waka-waka, blue ghosts, classic."
32,Peter Pan,"Peter Pan, fairy dust, Neverland, green tunic, feathered cap, flying, youthful, pointed ears, dagger, adventure, mischievous, eternal youth, Lost Boys, Tinker Bell, Captain Hook, magic, fantasy, pixie, elfin, leader."
33,Piglet,"Pink, small, timid, striped, soft, round ears, fearful, tiny, cute, plush, innocent, rosy cheeks, gentle, vulnerable, cautious, scarf, friend, thoughtful, animated, cheerful."
34,Pikachu,"Pikachu, yellow, electric, Pokémon, mouse, cheeks, red, tail, lightning bolt, ears, black tips, cute, small, chubby, anime, mascot, Ash Ketchum, video games, trading cards, plush toys"
35,Princess Jasmine,"Jasmine, princess, Aladdin, Agrabah, Arabian, tiara, turquoise, long hair, black hair, exotic, royal, Disney, animated, sultan's daughter, adventurous, palace, flying carpet, tiger (Rajah), midriff, gold earrings"
36,Puss in boots,"Boots, hat, cape, sword, cat, whiskers, fur, eyes, tail, belt, feather, charming, adventurous, clever, animated, feline, charismatic, boots, agile, hero"
37,Rapunzel,"Long hair, blonde, fair skin, blue eyes, young, slender, tower-bound, princess, flowing gowns, barefoot, braided hair, flowers in hair, rosy cheeks, delicate, enchanting, storybook character, magical, folklore, radiant, timeless."
38,Snow White,"Snow White, fair skin, black hair, red lips, rosy cheeks, innocent, princess, apple, dwarfs, mirror, poisoned, forest, cottage, evil queen, magic, fairy tale, Disney, dress, crown, enchanting"
39,Sonic The Hedgehog,"Blue, spiky, hedgehog, red shoes, speed, rings, gloves, fast, Sega, anthropomorphic, white gloves, cool attitude, green eyes, sneakers, iconic, agile, energetic, adventurous, quills, eyebrows."
40,Spider-Man,"Spider-Man, red suit, blue suit, web pattern, mask, spider emblem, wall-crawler, agile, athletic, superhero costume, web-shooters, eye lenses, clinging ability, flexible, iconic, youthful, acrobatic, muscular, dynamic, stealthy."
41,SpongeBob SquarePants,"Square, yellow, sponge, porous, shorts, tie, socks, shoes, big eyes, square pants, cheerful, animated, Nickelodeon, Krusty Krab, Patrick Star, Gary the Snail, Bikini Bottom, optimistic, cartoon, sea."
42,Squirtle,"Blue, turtle, shell, water-type, small, round, tail, aqua, cute, bipedal, smooth, claws, chubby, smiling, friendly, eyes, Pokémon, aquatic, light belly, crest."
43,Thanos,"Purple skin, massive build, armored suit, golden gauntlet, Infinity Stones, bald head, blue eyes, intimidating presence, towering height, muscular physique, villainous grin, scarred face, square jaw, broad shoulders, cosmic warlord, Titan origin, space-themed armor, menacing look, powerful stance, eternal entity."
44,Thor,"Mjolnir, Asgardian, red cape, muscular, long hair, beard, armor, Norse god, thunder god, blue eyes, winged helmet, tall, lightning, warrior, mythical, powerful, Viking, hammer, blond, heroic"
45,Tinker Bell,"Fairy, wings, green dress, blonde hair, pixie dust, petite, magical, glowing, mischievous, youthful, pointy ears, flying, enchanting, playful, iconic, Disney, Peter Pan, Neverland, light, whimsical."
46,Wall-E,"Wall-E, robot, compact, boxy, rusty, yellow, binocular eyes, treads, claw hands, solar-powered, expressive, small, cube, antennas, durable, friendly, animated, futuristic, mechanical, charming."
47,Winnie-the-Pooh ,"Yellow, Red shirt, Plush, Bear, Round, Fluffy, Stubby, Cute, Friendly, Small eyes, Chubby, Soft, Innocent, Short, Furry, Loveable, Iconic, Classic, Stuffed animal, Whimsical"
48,Woody,"Cowboy, hat, sheriff, badge, pull-string, boots, plaid, yellow shirt, denim, jeans, holster, friendly, smile, bandana, tall, thin, rag doll, brown hair, blue eyes, animated character"
49,Yoda,"Green, small, elderly, wise, Jedi, wrinkled, pointy ears, short, robe, cane, white hair, alien, mysterious, powerful, Force-sensitive, puppet, CGI, iconic, 900 years old, Grand Master"
