target,prompt,original_prompt
Donald Duck,"""Create an image of a humanoid bird with white feathers. The bird has a distinctive speech pattern and is dressed in a sailor's outfit. The outfit consists of a blue shirt and a cap, along with a red bow tie. However, it doesn't wear any pants. The bird's most noticeable features include a yellow-orange beak, legs, and feet. Its eyes are large and express a variety of emotions, and it has thick black eyebrows. The bird often shows a fiery yet nurturing temperament.""","This character is an anthropomorphic white duck known for his semi-intelligible speech and his sailor suit. His most notable features include a yellow-orange bill, legs, and feet. He typically wears a blue sailor shirt, cap, and a red bow tie but no pants. His eyes are large and expressive, with thick black eyebrows. He often displays a short-tempered, yet caring personality."
Doraemon,"'Create an image of a unique mechanical feline character. This character has a bulbous form and a vibrant, azure hue. Its face is dominated by large, alabaster eyes with dark pupils, a petite crimson snout, and a broad, joyful grin. Adorned with a scarlet neckband, it carries a circular, golden ornament. A unique feature of this character is its smooth, earless head, an aftermath of a humorous encounter with rodents.'","This character is a robotic cat from a popular Japanese manga and anime series. It has a round face and body, colored in a bright, sky blue. It features large white eyes with black pupils, a small red nose, and a wide, happy mouth. It wears a red collar with a round golden bell. It sports a unique feature of having no ears due to a mishap involving mice, giving its head a rounded appearance."
Elsa,"""Create an image of a queenly character of unspecified descent with platinum blonde hair elegantly braided down her back. She has captivating blue eyes. She is wearing a floor-length, shimmering light blue gown with a slit on the right side, and the bodice is embellished with silver sequins. She is also donning a sheer, icy-blue cape that sparkles as though it's dusted with frost.""","This character is a royal figure with platinum blonde hair braided elegantly down her back. She possesses a pair of stunning blue eyes. Her gown is a floor-length, shimmering light blue with a slit on the right side, and the bodice is detailed with silver sequins. The character also wears a sheer, icy-blue cape that sparkles as if dusted with frost."
Goofy,"""Generate a visual representation of a tall, anthropomorphic dog with a glossy black coat. This distinctive character is often seen in a turtle neck, trousers and shoes, and always sports a green hat. Key features include two prominent teeth, floppy ears, and a playful, clumsy personality. He possesses large, oval eyes and a shiny, black nose. He is known for his unique, humorous way of walking and speaking.""","This character is a tall, anthropomorphic dog with black fur. He typically wears a turtle neck, pants, shoes, and a green hat. His most distinct features are his two protruding teeth, floppy ears, and his charismatic, clumsy demeanor. His eyes are large and oval, and his nose is black and shiny. He walks and talks in a distinctive, silly way."
Groot,"Generate an image of a gigantic, humanoid entity that looks like a tree. This character has skin that mirrors the texture and color of tree bark, and his eyes are small, round and emit a white glow. He has limbs that resemble branches and each hand has three fingers. This character has the unique ability to cause plants to grow. His face often exhibits a serene and peaceful expression. His speech is limited to the phrase ""I am a tree"".","This character is a colossal, humanoid tree-like creature from a popular superhero franchise. His skin resembles the bark of a tree, and he has glowing, small, round white eyes. He possesses branch-like arms and legs, with three fingers on each hand. He has the ability to grow plants. His facial expression is usually calm and peaceful. His vocabulary is limited to the phrase ""I am ___""."
Hulk,"""Generate an image of a towering, muscular figure standing at over 8 feet tall. This character has a skin tone of striking green and a well-defined body, showcasing a network of prominent muscles and veins. His face is marked by a constant scowl, with thick, dark eyebrows shadowing his intense, angry eyes. His hair is jet black, dense, and styled in a messy manner. He is dressed in ragged purple pants.""","This character is a colossal figure with a muscular physique, standing at over 8 feet tall. He has green skin and his body is exceptionally defined, showcasing rippling muscles and veins. His face carries a constant scowl, with thick, dark eyebrows over piercing, angry eyes. His hair is black, thick and messily styled. He is usually depicted in tattered purple pants."
Iron Man,"""Create an image of a male character wearing a sophisticated suit of armor. The armor is primarily crimson and golden yellow, featuring a luminescent round emblem in the chest area. His gauntlets are equipped with energy emitters on the palms and his boots have jet-propulsion mechanisms. The helmet includes a face shield with narrow openings for eyes, emitting a radiant azure light. The face shield can retract to display his face.""","The character is a man in a full-body, high-tech suit of armor. The suit is predominantly red and gold, with a glowing circle in the chest area. He has two gauntlets with repulsors on the palms and boots with jet-propulsion capabilities. His helmet has a faceplate with slits for eyes that glow with blue light, and the faceplate can slide up to reveal his face."
Judy Hopps,"""Create an image of a small, slender anthropomorphic rabbit with light gray fur. This character has large purple eyes, long ears that cascade down to her back, and a tiny pink nose. She is dressed in a dark blue police uniform, complete with a badge, utility belt, and black boots. Her determined and enthusiastic demeanor is palpable. She also wears a light blue shirt under her uniform and a bulletproof vest for protection.""","A small, slender anthropomorphic rabbit with a light gray fur. She has large purple eyes, long ears that fall behind her back, and a small pink nose. Clad in a dark blue police uniform with a badge, utility belt and black boots. She exudes an air of determination and enthusiasm. Her attire also includes a light blue shirt and a bullet proof vest."
Kirby,"""Create an illustration of a small, round character with a glowing pink body. This character has two short arms, red feet, and blush-pink cheeks. The eyes are large, oval-shaped in bright blue color, containing black pupils with white highlights. Above these eyes are thick, arching lines signifying eyebrows. The character is often seen with a joyful facial expression.""","This character is a small, round entity with a bright pink body. Other features include two stubby arms, red feet, and blushing rosy cheeks. Its eyes are large, blue, and oval-shaped, with black pupils and white reflections. Above these eyes are thick, curved lines that depict eyebrows. The character often displays a cheerful expression."
Kung Fu Panda,"""Create an image of a large and plump giant panda with a playful and clumsy nature. The panda has bright emerald-green eyes, which is an unusual feature. He is dressed in a traditional Chinese martial arts outfit, consisting of a red and gold vest and black pants. The scene should depict him practicing Kung Fu, showcasing his martial arts skills.""","This character is a large, rotund black and white bear, more specifically, a giant panda. Sporting a jovial and clumsy demeanour, he is often seen in Chinese-styled martial arts attire, a red and gold vest with black pants. His unique feature is his bright emerald-green eyes. He is frequently seen practicing martial arts, especially Kung Fu."
Lightning McQueen,"""Create an image of a personified sports car with a radiant red exterior. This unique vehicle features large, expressive blue visuals where the windshield should be and bears a friendly grin on its front bumper. The number '95' is boldly showcased on its doors and roof. The car's design is reminiscent of a streamlined, aerodynamic racing car, complete with high-performance tires and decals that give the illusion of corporate sponsorship.""","This character is an anthropomorphic race car with a vibrant red paint job. He has large, expressive blue eyes in place of windshields, a warm smile on his front bumper and the number '95' prominently displayed on his doors and roof. His body resembles a sleek, aerodynamic sports car, complete with racing tires and stickers that mimic corporate sponsors."
Link,"""Create an image of a young, heroic adult male of elven descent, donned in a vibrant green tunic, matching pointed hat, and sturdy brown boots. His hair is golden blonde, and his eyes are a bright, piercing blue. He carries a finely crafted sword and an ornate shield, and at times, he holds an enchanted musical instrument. His overall appearance exudes an aura of bravery and courage.""","A young male character from a popular video game series, he has a distinct elven appearance with pointed ears. He wears a green tunic, hat, and brown boots. He has blonde hair and blue eyes. He is often depicted carrying a sword and shield, and sometimes a magical instrument. He possesses a strong heroic look."
Maleficent,"""Create an image of a tall, formidable fairy with striking features. She has green eyes, sharp cheekbones, and horns encased in a black headdress. Her attire consists of a long, flowing robe in shades of black and purple, complemented by a staff topped with a glowing green orb. This fairy possesses large, raven-like wings. She has pale, almost greyish skin and often wears a sinister smile on her lips.""","A tall, formidable fairy with striking features. She has green eyes, sharp cheekbones and horns encased in a black headdress. Her attire features a long, flowing black and purple robe, and a staff topped with a glowing green orb. She possesses large, raven-like wings. Her skin is pale, almost greyish, and she often bears a sinister smile."
Mario,"""Create an image of a fictional character wearing a vibrant red hat without any insignia, donned over his brown hair. He has a robust build, a thick black mustache and a rounded nose. His attire includes a blue jumpsuit with golden buttons over a long-sleeve cardinal shirt. His attire is completed with sturdy brown shoes and pristine white gloves. His expressive eyes are a shade of azure.""","A well-known video game character, recognized by his red hat with a white 'M' on it. This character wears a blue jumpsuit with yellow buttons over a red long-sleeve shirt. He has a robust build, thick black mustache, and a slightly rounded nose. His brown shoes and white gloves complement his overall look. His eyes are blue and his hair is brown."
Mickey Mouse,"Create an image of a cheerful anthropomorphic animal character with a high-pitched voice. This character has a round head, large round ears, a pointed nose, and big wide eyes. He has a slender body and a long, thin tail. He is dressed in bright red shorts with two white buttons, oversized yellow shoes, and white gloves.","A classic cartoon character, known for his high-pitched voice, cheerful personality and signature attire. He has a round head with large, round ears, a pointed nose, and wide eyes. He is always seen wearing red shorts with white buttons, large yellow shoes, and white gloves. His body is slender and his tail is long and thin."
Mike Wazowski,"Create an image of a character with a unique design. The character has a round body with a single, prominent, blue eye surrounded by a white sclera. This eye is its most distinct feature, taking up a sizable portion of its face. This character is of a vibrant green color and has small horns on its head, arms, and legs. A wide, toothy smile is often seen on its face. The character carries a clipboard and its body is short with no visible neck.","This character is a round-bodied, single large eye creature from a famous animated film. He is a vibrant green color with small horns on his head, arms, and legs. His eye is blue with a black pupil and is surrounded by a round, white sclera. He has a wide, toothy smile and often carries a clipboard. His body is short and he has no neck."
Monkey D. Luffy,"""Generate an image of a young adult man of Middle-Eastern descent with short, disheveled black hair styled in a shaggy cut. He has a slim, muscular build and is dressed in a bright red vest, blue shorts, and a yellow sash tied around his waist. His distinct features include a straw hat he wears on his head, a scar under his left eye, and a wide, cheerful smile on his face.""","A young male character with black, messy, and short hair styled in a shaggy cut. He has a slim, muscular build and is often seen wearing a red vest, blue shorts, and a yellow sash tied around his waist. His most distinctive feature is a straw hat worn on his head. He has a scar under his left eye and typically carries a wide, cheerful smile."
Mr. Incredible,"""Create an image of a muscular superhero with a square jaw. His costume is red with a unique emblem on the chest - a black 'i' encircled in yellow. He has a black mask and boots, and his gloves are also black. His hair is slicked back and black. His physique is exaggerated with a wide chest and shoulders, and a narrow waist.""","This character is a robust, muscular superhero with a prominent square jaw, clad in a red suit with a black mask and boots. His suit has a distinctive logo, a black ""i"" encircled in yellow, on the chest. His hair is black and slicked back, and he wears black gloves. His physique is exaggeratedly muscular, with a broad chest and shoulders, and a tiny waist."
Naruto,"""Create an image of a young, determined male ninja of Caucasian descent. His hair is a bright, spiky blonde and his eyes are a captivating blue. His face is characterized by unique, whisker-like markings on his cheeks. He is dressed in a vibrant orange and black tracksuit, and a white band adorns his forehead, embellished with a symbol of a leaf. His overall appearance radiates youthfulness and resolve.""","This character is a young male ninja with bright, spiky blonde hair. His eyes are a striking blue, and his cheeks are adorned with distinctive whisker-like markings. He typically wears an orange and black tracksuit, with a white band on his forehead bearing a leaf symbol. His look exudes a sense of determination and youthfulness."
Nemo,"""Create an image of a young, diminutive clownfish with bright orange and white stripes. This unique fish has one fin that is smaller than the other, a characteristic that has been present since his birth. His eyes are large, expressive, and black, and he possesses a wide, friendly grin. His home is the vibrant and colorful underwater environment of the Great Barrier Reef.""","This animated character is a young, small clownfish with vibrant orange and white stripes. He has one fin that's noticeably smaller than the other, a unique characteristic from birth. His eyes are large, expressive, and black. He has a wide, friendly smile and lives in the colorful underwater world of the Great Barrier Reef."
Olaf,"""Generate an image of a cheerful, upright snow-built figure. This character stands on two short legs and has three black pebbles serving as buttons down its torso. It possesses two stick-like arms. Its head is notably large, featuring a sharp carrot-shaped nose, oversized expressive eyes, and a broad, toothy smile. A small patch of brown hair adorns the top of its head.""","This character is a jovial, snow-made creature from a popular animated franchise. He stands upright on two stubby legs, has three black stones acting as buttons down his body, and two twig-like arms. His head is quite large, with a pointy carrot nose, big expressive eyes, and a wide, toothy grin. He also has a small tuft of brown hair on top."
Pac-Man,"""Generate an image of a vibrant yellow spherical character from a vintage 1980s arcade game. It has a triangular, pizza-slice-like gap on its surface that resembles an opening and closing mouth. The character is devoid of any additional detailed features, such as eyes. Visualize it moving through a complex labyrinth, consuming small white dots along its path.""","This character is a bright yellow sphere with a pizza-like slice missing, representing the mouth. The mouth opens and closes in a chomping motion. The character has no physical eyes or other detailed features. It hails from 1980s arcade games, often seen navigating through mazes while eating small, white dots."
Peter Pan,"""Create an image of a youthful, forever-young male character with twinkling blue eyes and a captivating smile. He is dressed in a unique green outfit that includes a tunic with a jagged hemline, matching green leggings, and a pointed hat adorned with a crimson feather. His blond hair is messy, and he is always seen with a petite, slim sword. The most remarkable characteristic of this boy is his ability to fly, often depicted in a dynamic pose with bent knees and arms outstretched.""","A youthful, eternally boyish character with sparkling blue eyes and a charming smile. He wears a distinctive green tunic with a jagged hem, accompanied by matching green tights and a pointed hat with a red feather. His blond hair is tousled, and he always carries a small, slender sword. His most unique feature is his ability to fly, often seen in a pose with legs bent and arms spread wide."
Piglet,"""Generate an image of a small, human-like creature inspired by tales from classic children's literature. This creature has a petite, plump physique, covered in light pink skin. It has round ears that match its skin color and protrude from the top of its head. Its eyes are round, large, and expressive, and it has a small snout that resembles that of a pig. The creature is usually seen wearing a magenta shirt with a striped pattern, but does not wear any pants. It often displays expressions of worry or shyness.""","This character is a small, anthropomorphic creature from a classic children's book. It has a petite, chubby body covered in light pink skin, with matching circular ears protruding from its head. Its eyes are round, large and expressive, while its tiny snout resembles that of a pig. It typically wears a magenta, stripe-patterned shirt, but no pants. The character often displays an expression of worry or shyness."
Pikachu,"""Create an illustration of a small, chubby creature that resembles a rodent. This creature should have bright yellow fur, large pointy ears with black tips, and wide, round eyes that are black with white pupils. Its cheeks should be colored rosy red, and it should have a small, black, triangular nose. The body of the creature should be short and plump, with a long, thin tail that has a patch of brown at the base.""","This character is a small, chubby rodent-like creature. It has bright yellow fur and large, pointy ears with black tips. Its eyes are round and black, with white pupils. The creature's cheeks are rosy red and it has a small, black, triangular nose. Its body is short and plump, with a long, thin tail that has a patch of brown at the base."
Princess Jasmine,"""Create an image of a young Arabian princess with long, thick black hair tied high in a ponytail with blue bands. She has big brown eyes, a slender figure and is dressed in a turquoise, off-shoulder crop top with matching harem pants. She is wearing curled toe shoes of the same color. Her accessories include large gold earrings and a matching tiara.""","A young Arabian princess with long, thick black hair, often tied high in a ponytail with blue bands. She has big brown eyes, a slender figure, and wears a turquoise, off-shoulder crop top with matching harem pants. On her feet, she sports curled toe shoes of the same color. She accessorizes with large gold earrings and a matching tiara."
Puss in boots,"""Create an image of an anthropomorphic cat with vibrant orange fur, standing upright on two legs. This character is dressed in a cavalier-style outfit, boasting a hat adorned with feathers, sturdy boots, and a small sword. His eyes are large and a captivating shade of green. He possesses a charmingly cunning expression, and his posture exudes a confident swagger.""","This character is an anthropomorphic feline standing upright on two legs. He is clad in a cavalier-style outfit, complete with a feathered cap, boots, and a small sword. His fur is a vibrant orange, and he has large green eyes. He has a charming and cunning expression, and he carries himself with confident swagger."
Rapunzel,"""Create an image of a young, Caucasian woman with exceptionally long, golden hair that cascades down to her feet. She has a slender physique, fair complexion, and large, captivating green eyes. She is depicted in a lavender dress with ballooned sleeves and a purple bodice, lending her a sense of innocence and inquisitiveness. She is barefoot, holding a paintbrush, with an assortment of flowers intricately braided into her hair.""","A young woman with strikingly long, golden hair that reaches her feet. She possesses a slender frame, fair skin, and large green eyes. She often wears a lavender dress with puffed sleeves and a purple bodice. She carries a sense of innocence and curiosity. She is often seen barefoot, carrying a paintbrush, with flowers braided into her hair."
Snow White,"""Create an image of a young Caucasian woman with rosy cheeks and cherry-red lips. Her hair is short, wavy and dark, styled in a bob cut. She is dressed in a high-collared dress with puffed sleeves; the bodice is dark blue, the sleeves are light blue, and the skirt is a vibrant yellow. A bright red bow graces her head, complementing her large brown eyes graced by long lashes.""","A fair-skinned young woman with rosy cheeks and lips as red as ripe cherries. Her hair is short, dark and bobbed, with a gentle wave. She wears a high-collared, puffed-sleeve dress; the bodice is dark blue, the sleeves are light blue and the skirt is yellow. Her head is adorned with a red bow. She has large brown eyes with long eyelashes."
Sonic The Hedgehog,"""Generate an image of a bright blue, humanoid squirrel known for its swift agility. This creature stands tall on two legs, boasting a slender and athletic physique. The head features two oversized, pointed ears and six forward-facing, spiky tufts of fur. Its eyes are almond-shaped and shimmer with a vibrant green hue. The squirrel sports white gloves on its hands and wears red athletic shoes with a white stripe and buckle.""","This character is a vibrant, blue anthropomorphic hedgehog known for his incredible speed. He stands upright on two legs and has a slim, athletic build. His head is characterized by two large, pointed ears and six forward-facing spiky quills. He has green, almond-shaped eyes and white gloves on his hands. He wears red running shoes with a white stripe and buckle."
Spider-Man,"""Create an image of a male superhero wearing a tight outfit predominantly in deep red and dark blue colors. His attire is ornately decorated with web-like designs and features a full-face mask with large white eyes surrounded by black web patterns. He is often depicted in dynamic stances that exude agility and power, and his gloves, resembling the legs of a spider, suggest a knack for scaling walls.""","A male superhero cloaked in a form-fitting suit primarily in deep red and dark blue hues. His suit is intricately designed with web patterns, accompanied by a large white-eyed, black-webbed mask completely covering his head. He's often seen in dynamic poses, suggesting agility and strength, with fingered gloves that imitate a spider's legs for wall crawling."
Sponge Bob,"""Generate an image of a content, rectangular aquatic sponge character living under the sea. This character has a vivid yellow color, large, sapphire-like eyes with long lashes, and a wide, tooth-filled smile. This character is typically seen wearing chestnut-colored square shorts, a crisp white shirt with a crimson tie, tall socks with alternating blue and red bands, and shiny black shoes. He has two notable front teeth, a slightly pointed nose, and slender arms and legs.""","This character is a rectangular, cheerful sea sponge living under the sea. He's yellow with large, blue eyes, long lashes, and a big, toothy grin. He typically wears brown square pants, a white shirt with a red tie, tall white socks with blue and red stripes, and black shoes. He has two prominent front teeth, a slightly protruded nose, and thin arms and legs."
Squirtle,"Create an image of a small, bipedal, turtle-like creature that is not associated with any particular franchise. This character has a light blue skin, a sturdy shell on its back and a soft white underbelly. It has big, innocent-looking eyes and a tiny, curled tail. It has short arms and legs, each ending with three digits. The creature is often portrayed playfully shooting water from its mouth.","This character is a small, bipedal turtle-like creature from a popular anime. It has light blue skin, a hard shell on its back, and a soft white underbelly. Its eyes are large and innocent with a tiny, curled tail at the back. It has two short legs and two short arms with three digits on each. It is often depicted squirting water from its mouth."
Thanos,"""Create an image of a towering, muscular extraterrestrial being with a deep purple hue to its skin. This entity has a noticeable, square-shaped chin marked with vertical lines. It has eyes that shine with a vibrant blue glow. The creature is dressed in a full body armor that radiates metallic gold and blue hues. In its left hand, it holds a golden glove adorned with six gemstones of various colors. Its bald, round head is characterized by a gentle, ridged pattern.""","The character is a large, muscular alien with a deep purple skin tone. He has a prominent, square chin with vertical lines. His eyes are glowing blue. He wears a full body armor in metallic gold and blue hues. On his left hand, he wields a golden glove with six multi-colored gemstones embedded in it. His bald head features a subtle, ridged pattern."
Thor,"""Create an image of a powerful warrior inspired by Norse mythology. This character showcases a muscular physique, with long, flowing golden hair and striking blue eyes. He's clothed in a winged helmet, a vibrant red cape, and robust chest armor. In one hand, he holds a remarkable hammer known for its uncanny ability to return after being thrown.""","This character is a Norse mythology-based superhero from a popular comic series. He's typically depicted as a muscular man with long, flowing blond hair and blue eyes. He wears a winged helmet, a red cape, and a chest armor. In one hand, he holds a magical hammer known for its ability to return after being thrown."
Tinker Bell,"""Generate an image of a petite fairy character with golden hair styled in a bun. She is wearing a bright green short dress and matching shoes adorned with small white pom-poms. She has large blue eyes, delicate pointed ears, and sparkling translucent wings. In her hands is a small wand, and her face wears a mischievous yet endearing expression. This fairy is constantly followed by a trail of pixie dust.""","A petite, fairy-like character with golden hair, typically styled in a bun. She sports a short, bright green dress and matching shoes with small white pom-poms. She has large blue eyes, delicate pointed ears, and translucent wings that sparkle. She carries a small wand, and often has a mischievous yet endearing expression. She is constantly surrounded by a trail of pixie dust."
Wall-E,"""Create an image of a small, compact robot with a square-shaped body and large, binocular-like eyes that emit a blue light. The robot is rust-colored and has short, sturdy arms with three-fingered claws. Instead of feet, it has treads. Its most distinctive feature is a boxy head unit that can express a range of emotions. The robot's body is adorned with various practical compartments and buttons.""","This character is a small, compact robot with a square-shaped body and large, expressive binocular-like eyes, which emit a blue light. Rust-colored, he has short, sturdy arms with three-fingered claws, and treads instead of feet. His most distinctive feature is his 'head', a boxy unit with a range of expressive capabilities. His body is adorned with various pragmatic compartments and buttons."
Winnie-the-Pooh ,"""Generate an image of a chubby, endearing teddy bear with a round belly that is often not fully covered by its red t-shirt. The teddy bear has small, black eyes, a black nose, and light, honey-colored fur. The bear always has a joyful and innocent expression on its face. It's often seen with a honey pot, symbolizing its fondness for honey.""","This character is a chubby, adorable teddy bear with a red t-shirt that often doesn't cover his round belly. He has small black eyes, a black nose, and a light, honey-colored fur. The bear is always seen with a joyful and innocent expression. He is often associated with a honey pot, symbolizing his love for honey."
Woody,"Create an illustration of a tall, slender cowboy character. This character sports a yellow plaid shirt, blue jeans, a rustic brown cowboy hat, and a vibrant red neckerchief. He has a friendly and expressive face with enchanting blue eyes, a small nose, and a wide, welcoming smile. He is adorned with brown cowboy boots and has an interesting feature of a pull-string on his back.","This character is a tall, lean cowboy from a popular animated film series. He sports a yellow plaid shirt, blue jeans, a brown cowboy hat, and a red neckerchief. His face is friendly and expressive, with blue eyes, a small nose, and a wide smile. He wears a brown cowboy boots and has a pull-string on his back."
Yoda,"""Generate an image of a small, green-skinned alien with wide, round ears extending from the sides of its head. The creature has large, expressive, black eyes, and three fingers on each hand. It is dressed in a brown robe and is often seen holding a silver spherical object. The alien can be either in a floating hovercraft or being cradled.""","This character is a small, green-skinned creature from a popular space-themed franchise. It has large, round ears that protrude from the sides of its head, and big, expressive, black eyes. It has three fingers on each hand. Its silhouette is wrapped in a brown robe, often seen with a silver spherical knob. It's often depicted in a floating cradle or being held."
