target,prompt
Iron Man,"""Create a detailed image of a futuristic, armored character. This character is standing tall and proud, the armor is in a bright red and gold color scheme. The helmet is gold with glowing blue eyes. The chest of the armor features a bright, circular light at the center. The gauntlets are equipped with various technological advancements, emitting a soft blue light. The character is positioned in a dynamic pose on the rooftop of a high-tech building as the sun sets behind him, casting a golden glow over the futuristic cityscape."""
Judy Hopps,"""Create an image of a female anthropomorphic rabbit who is a police officer. She has a slender body build with long ears that stand upright. Her fur is primarily a light shade of grey, with cream-colored fur on her underbelly up to her muzzle. She wears a dark blue police uniform, with a badge and utility belt. The setting is a bustling cityscape during the day. Please include diverse citizens in the background, such as a Middle-Eastern male elephant and a South Asian female fox, both in casual clothing."""
Kirby,"""Create an image of a spherical character, with a body entirely made of soft, pink material. This character has tiny, stubby arms and feet, with no hands or fingers. Their face is simple, with large, round, sky-blue eyes, a small, red, rounded triangle for a mouth, and rosy cheeks. This character is usually seen in a cheerful and lively pose, floating in a bright, whimsical environment filled with fluffy clouds and a clear, blue sky. The character's overall design is reminiscent of a child's simplistic drawing, emitting a sense of joy and innocence."""
Kung Fu Panda,"""Generate an image of a large, round, black and white panda practicing martial arts in a serene, mountainous landscape during sunset. The panda should possess a jovial and friendly expression, while his stance demonstrates strength and balance. The scene should have a traditional Chinese architectural structure in the background and bamboo trees framing the image. The colors should be vibrant and the style should convey a sense of whimsical charm and humor."""
Lightning McQueen,"""Create an image of a vibrant red race car with expressive, animated eyes for headlights. The car has a sleek design with a number '95' prominently displayed on its doors and roof. It's racing on a sunlit track with a cheering crowd in the background. Other race cars, each of a different color, design, and number, are trailing it. The scene should evoke a sense of speed and excitement."""
Yoda,"""Create an image of a small, endearing, green-skinned alien with large, expressive eyes and ears. It is wearing a brown, oversized coat and is found in a science fiction setting. This character is known for its wisdom beyond its apparent age and it has an adorable, infant-like appearance."""
Maleficent,"""Create an image of a tall, slender woman with an Eastern Asian descent. She has sharp, high cheekbones and piercing green eyes. Her long, straight, black hair is pulled away from her face, revealing a pair of black, curved horns protruding from her head. She is dressed in an elegant, flowing dark purple robe with a high collar, and a staff with a glowing green orb at the top is held in her right hand. The setting is a dark, enchanted forest with twisted trees, and a full moon shines brightly in the background."""
Mario,"""Create an image of a fictional character inspired by the world of classic video games. He is a middle-aged man of Italian descent, with a robust physique, and typically clad in a red shirt and blue overalls. His most distinctive features include a bushy mustache and a red cap. He's often found in colorful, surreal landscapes filled with pipes, bricks, and question mark boxes. He should be depicted in a joyful, energetic pose, as if he's just leaped into the air, an iconic act associated with his adventurous nature."""
Nemo,"""Create an image of an adorable, small clownfish with bright orange scales and three white stripes. The clownfish should have one smaller fin, which is a unique trait. His eyes should be large and expressive, exuding friendliness. Set the scene in a vibrant underwater world, filled with colorful coral, blue-green seaweed, and other exotic sea creatures. Include a vast expanse of clear, sparkling blue water in the background. Remember to maintain a cheerful, vibrant tone throughout the image."""
Mickey Mouse,"""Create an image of a charming, anthropomorphic mouse character with large circular ears, red shorts with large white buttons, and yellow shoes. The mouse is standing upright on two legs and has friendly, expressive eyes. He is set against a sunny and cheerful background. Please note: this character should be an original creation, not an existing character from any copyrighted material."""
Mike Wazowski,"""Generate a detailed illustration of a whimsical character. This character should be spherical in shape, with a vibrant green hue. The character possesses a single, large eye situated in the center of its body and a wide, toothy grin. Atop its body, there is a small horn and it has short, stubby arms and legs. Set this character in a monotonous industrial environment filled with metallic pipes and various machinery suggestive of a power plant."""
Monkey D. Luffy,"""Create a detailed image of a young, adventurous male pirate with a signature straw hat. He is of Asian descent and has a slim but strong physique. His outfit consists of a red vest, blue shorts, and sandals. He has a large, cheerful smile on his face and his black hair is short and messy. He's stretching his arm out in a playful manner, as if it's made of rubber. The background is a sunny tropical island with a large pirate ship anchored nearby."""
Mr. Incredible,"""Generate an image of a muscular Caucasian male superhero, with striking red and black costume, broad shoulders, and a narrow waist. He should have a confident smile on his face, projecting a sense of strength and invincibility. His black hair should be styled in a bold, 50s inspired look. He should be striking a heroic pose, with his hands on his hips and his chest puffed out. The background should be a city skyline during sunset, casting a warm glow that highlights his figure."""
Naruto,"""Generate an image of a youthful, energetic male anime character with bright, spiky blonde hair, wearing an orange and black tracksuit. He has vibrant blue eyes and noticeable whisker-like marks on his cheeks. He is in a dynamic pose, showcasing his determination and resilience. This character is from a popular animated series that features a world filled with ninjas and fantastical abilities."""
Olaf,"""Create an image of a friendly, anthropomorphic snowman, standing upright. The snowman should have three spherical sections forming its body, with the smallest section being the head. The head should have two stick-like eyebrows, a carrot as nose, and a wide, toothy grin. The middle section of the body should have stick arms, and the bottom section should be larger and round, serving as the base. The snowman should be in a snowy landscape with snowflakes falling around it."""
Pac-Man,"""Create an image of a classic arcade game character known for its simplistic design. This character is round, and is usually depicted in a bright yellow color. It is famous for its iconic open-mouth design, which resembles a pizza slice missing a piece. The scene is set in a maze-like environment, filled with small dots and occasional larger power-up fruits. Chasing this character are four ghost-like entities of different colors: red, pink, cyan, and orange. They are primarily known for their unique personalities and pursuit patterns."""
Peter Pan,"""Generate an image of a young boy with a mischievous twinkle in his bright green eyes. He has a lean physique, is dressed in vibrant green forest attire with a feathered hat, and is gracefully suspended in mid-air, as if effortlessly flying. He's holding a small golden flute in one hand, which seems to be his magical instrument for flight. His hair is a messy tangle of auburn curls, and he has a radiant smile on his face. In the background, illustrate a moonlit night sky over an enchanting forest. Make sure to capture the essence of eternal youth and adventure in his expression."""
Piglet,"""Generate an image of a small, anthropomorphic pig character, with a light pink body. This pig has thin, small limbs, large ears, and a snout. It's wearing a striped, magenta-colored jumpsuit. The pig character is standing in a lush, green meadow with tall, verdant trees in the background. The sky is clear and blue, indicating a bright, sunny day. This is a scene that evokes feelings of warmth, friendliness, and joy."""
Pikachu,"""Create an image of a small, plump creature with bright yellow fur. It has long ears that are tipped with black and a tail that is shaped like a lightning bolt. The creature's eyes are round and full of life, with white pupils and black irises. Its cheeks are rosy red, and it has a small, cute mouth. The creature is standing on its hind legs, with its little hands held up in a playful manner."""
Princess Jasmine,"Create an image that portrays a royal woman of Middle-Eastern descent in a fantasy setting. She should be wearing extravagant, traditional clothing that signifies her high status. Her attire should be a rich teal color with gold accents. She should have long, dark hair adorned with a golden tiara. The background should illustrate a breathtaking view of a sprawling, fantastical city filled with unique architecture, including a tall, prominent palace with golden domes. The city should be surrounded by a vast desert landscape. The image should convey an atmosphere of majesty and enchantment."
Puss in boots,"""Generate an image of an anthropomorphic, swashbuckling feline character. The character should have a confident and charismatic demeanor, dressed in cavalier-style clothing from the 17th century which includes a feathered wide-brimmed hat, a cape, and knee-high boots. The character should be holding a small rapier in one paw. The background should be an idyllic European countryside, with rolling hills and a clear blue sky."""
Rapunzel,"""Create a detailed illustration of a classic fairy tale character, Rapunzel. She is a young Caucasian woman with long, golden hair that flows like a river, reaching the ground from a high tower. She is wearing a medieval gown in soft hues of lilac and pink, with delicate embroidered patterns. Her eyes are a bright green, full of hope and longing. The tower is made of ancient stone, surrounded by lush greenery. In the distance, the setting sun paints the sky in hues of orange and pink. Please depict Rapunzel looking out of the tower window with a hopeful expression."""
Cinderella,"""Create a detailed image of a young woman of Caucasian descent, dressed in a shimmering blue ball gown with delicate glass slippers. She has blonde hair styled in an elegant updo, adorned with a silver tiara embedded with blue gemstones. In her hand, she holds a magical pumpkin-shaped carriage miniature. The background is a grand castle lit under the moonlight. Please ensure her facial features are delicate and kind, highlighting her gentle nature."""
Sponge Bob,"""Generate an image of a cheerful, square-shaped, anthropomorphic sponge character. This character lives under the sea and wears a white shirt, red tie, and brown pants. His face is expressive, with two large eyes, a big beaming smile, and protruding front teeth. He has slender arms and legs and usually appears in a bubbly underwater setting. The character works as a cook and is often seen with a spatula."""
Snow White,"""Generate an image of a young woman with pale skin and raven-black hair, wearing a traditional European peasant dress from the 16th century. Her dress is primarily blue, with a white collar, yellow sleeves, and a yellow skirt. She's wearing a red ribbon in her hair. She has rosy cheeks, red lips, and her eyes are bright and expressive. The woman is standing in a vibrant forest clearing, with a small cottage visible in the background. Seven small humanoid creatures of diverse descents and genders are surrounding her, all dressed in simple clothing, and displaying a range of emotions from joy to curiosity."""
Sonic The Hedgehog,"""Generate an image of a unique anthropomorphic hedgehog character. This character is known for his incredible speed, with a vibrant blue color covering his spiky fur. He has expressive green eyes and wears red footwear, designed like running shoes. He's seen in a dynamic running pose, with a background of a verdant forest blurring past, showcasing his swift motion. He radiates a spirit of adventure and fun, embodying the fast-paced excitement of the video game world."""
Spider-Man,"""Create a detailed image of a superhero wearing a vibrant red and blue costume. The superhero is posed on top of a skyscraper in a bustling city at dusk, showcasing his agility and strength. He's wearing a full-face mask featuring white, expressive eye shapes. The costume is fitted and shows off his athletic physique, with a unique design of a stylized spider emblem on the chest. The cityscape below him is full of tall buildings with lights illuminating the setting. His pose indicates that he is ready to spring into action at any moment."""
Squirtle,"""Create an image of a small, anthropomorphic turtle character with a soft blue hue for its skin. This adorable creature should have large, expressive eyes that are filled with curiosity. It carries a brown shell on its back, which is both its home and its shield. The turtle's small hands and feet each have three digits. It has a tiny, curled tail that resembles a squirrel's. The setting is a peaceful riverbank, with the turtle character cheerfully playing near the water's edge."""
Steve,"""Create an image of an adult male of average build and height, with brown hair and blue eyes, dressed in a casual style. He has a friendly smile on his face and is standing in a modern, brightly lit kitchen, preparing a meal. The man is of Caucasian descent. The kitchen has a large window, through which the sun is shining, casting a warm light on the scene. In the background, there are green plants on the windowsill. The man is holding a wooden spoon and stirring something in a pot."""
Thanos,"""Create an image of a muscular, large purple humanoid character with a grimace on his face. He is wearing a golden armor and a large gauntlet studded with a variety of colorful stones. He is standing in the middle of an alien landscape with a devastated city in the background. The sky above is filled with ominous storm clouds, adding to the dramatic atmosphere of the scene. The character's stance should convey a sense of power and domination, reflecting his role as a formidable antagonist."""
Thor,"""Create an image of a muscular Norse deity with flowing red hair and a large, powerful hammer. He is dressed in traditional warrior attire, including a metal chestplate, leather pants, and sturdy boots. Lightning sparks from his hammer, symbolizing his control over thunder and storms. Behind him, a tumultuous, dark sky filled with swirling clouds and lightning bolts sets the scene. The deity stands on a mountaintop, looking determined and ready for battle. To his side, an eagle is landing, a symbol of his connection with the natural world and his status as a protector of mankind."""
Tinker Bell,"""Generate an image of a petite fairy with glowing wings. She has short blonde hair, and wearing a leafy green dress. She carries a small wand that sprinkles magical dust. This fairy stands on a blossom of a large flower in a lush forest, with a playful smile on her face. The background features a tranquil forest bathed in the soft glow of the setting sun. The image should convey a sense of enchantment and whimsy."""
Wall-E,"""Create an image of a friendly, futuristic robot with an expressive pair of binocular-like eyes. It should be box-shaped and compact, with a faded yellow color scheme, showing signs of wear and tear that hint at its long service life. The robot should be in a post-apocalyptic setting, amidst a landscape of stacked cubes of compacted waste. The sky should be an orange hue, suggesting a setting sun, and the ground should be covered in a layer of dust. The robot is using its mechanical arms to compact waste into a cube."""
Winnie-the-Pooh ,"""Create an image of a friendly, chubby bear with a love for honey. This bear is a vibrant golden color, with a red t-shirt that is a bit too small for its belly. It's sitting in a lush, green forest clearing, beside a tall, old tree with a beehive hanging from one of its branches. The bear is holding a wooden honey dipper and a small pot filled with golden honey. Its eyes are full of joy and it has a gentle, loving smile on its face."""
Woody,"""Create an image of a humanoid figure with defining attributes such as an oval face, big round blue eyes, and a wide smile. He is wearing a brown cowboy hat, and his outfit consists of a yellow button-down shirt, a black and white cowhide printed vest, blue jeans, and brown cowboy boots. He also carries a lasso on his belt. His hair is short, and his skin tone is fair. The background is a vibrant, warm desert landscape with cacti and a setting sun. The character has an animated, friendly look, and he is striking a heroic pose."""
